frame,R1_p1,R1_p2,R1_p3,R2_p1,R2_p2,R2_p3,R3_p1,R3_p2,R3_p3
1,1.24742916456374,0.979890828844237,0.873406394259135,1.24742916456374,0.979890828844237,0.873406394259135,1.24742916456374,0.979890828844237,0.873406394259135
2,1.35104432095604,0.816858019936795,1.10182877287446,1.55195730455989,1.45867171211856,0.939817065603525,1.36791402213166,0.768598401512474,1.21593104943825
3,1.49002817747681,0.90683501062382,1.11338624406212,1.19779295910893,1.13236482151354,0.934694791742172,1.15963297209574,0.70724936652065,1.10945662493089
4,1.39258165153544,0.685885534727494,1.27564193320031,1.06425235741048,0.434360552256777,1.02554390995495,1.56631956796379,0.964823141810636,1.49908803147836
5,1.47958712912592,0.850671668316001,1.35422689566022,1.10261030823139,0.220893833553403,1.11952862887265,1.32189310957032,1.14009611555052,1.3988250234112
6,0.987338895590375,1.11199361453315,1.35980805132436,1.53816505186971,0.255713602053458,1.54207899343205,1.41426964574301,1.20603189454592,1.17475626157797
7,0.734423104735892,0.9609827817621,1.11086637077306,1.20711489787678,0.212238550515472,1.18410557917245,1.06660682770964,0.74817225714934,1.12762232651155
8,0.399434558612205,0.84920565737845,0.884161961628846,0.888476579045065,0.326278601697165,0.95321248302281,1.01324420702665,1.1239983584233,1.06205479339142
9,0.860959935487493,0.643971035419687,0.902826192423505,1.08246220233574,0.487138515630826,1.03777769553159,1.23980616083584,1.32884936327638,1.26200096682705
10,0.780496575398517,0.63279851571079,0.591639751871439,1.13543775123549,0.853406763915559,1.08567575944166,1.03330954144174,1.26091132822199,1.45181717171003
11,1.35802823660847,1.21784263415802,1.34747179477048,1.48098966479187,0.891760282989207,1.29824291763039,1.2908892869468,1.32280213873706,1.30407150854769
12,0.697075819289791,0.947688275921685,0.793297116858876,1.14058937938042,0.772804640047968,1.13067971602436,1.07059440051051,1.3651585686533,1.31653038312578
13,0.76494407631369,0.838341096335416,1.14748396822942,1.15925775859962,0.765529332765083,1.13888745482995,1.23608016447303,1.00952290811782,1.44022711664807
14,1.00480345401625,0.733173850249819,1.24270736344079,1.0857159009328,0.7518068534245,1.04214781905191,1.01480856857207,1.20902727256728,1.44140887551163
15,1.1326115287109,1.05502658145526,1.05943859386128,1.20742488216491,0.664042827047833,1.05045000672413,0.950384344538778,0.930839700172853,1.29442442936616
16,0.67091388835916,0.782709057194734,0.868991938366348,0.906713974633635,0.534100509509062,0.950501811002047,1.22481854852188,1.17984730634871,1.15286359289974
17,0.574755997099699,0.962085477016688,0.958170849594626,1.19432187379241,0.858035510989386,1.07947041546344,1.28586160904324,0.894879503960786,1.31976490861314
18,0.488758244143879,0.755426078699803,0.819119763848065,0.971785711373061,0.834432151947263,0.875862321332851,1.36221128540429,0.945978172017394,1.53026125759534
19,0.635132627764189,0.727601172297386,0.623710276830729,1.06108623522387,0.637878085487888,1.07314119071293,1.20203522969232,0.931852798343872,1.3636642342721
20,0.760341993678981,1.07418023434299,0.829041330635329,1.14398078823654,0.803913259461561,1.15398540837063,1.20913268495805,0.759561056740274,1.41576449490677
21,0.626956996429568,1.02835038703513,0.837201437069856,1.37644242044055,1.00851087135392,1.11846986585652,1.20676421133843,0.523096677325566,1.30694758276896
22,0.742188174071672,1.30390620268135,1.02299252310481,1.26191787246493,0.649217368021219,1.26144141469812,1.25971242757681,0.432500938903059,1.32990881342051
23,1.17649036098984,1.53199698994093,1.06787379511289,1.17399197402186,0.865659081163542,1.38785074483405,1.52698743569006,0.762000906829271,1.32291168286473
24,1.10953495549984,1.34887237205528,0.9206468786474,1.13791862291159,1.15530312877536,1.38782190457468,1.1812984732505,0.553272884403649,1.29114655033474
25,1.0749639994865,1.55117761103711,1.19521628807722,1.52529132749416,1.55665893803023,1.51853033710603,1.19218393901969,0.502078896393235,1.300040161794
26,1.07087776069644,1.54516409401536,1.09636629517445,1.1362802963561,1.19460105697077,1.26147677596047,0.922402975616484,0.592285088007623,1.11809842153699
27,0.952281494510873,1.48495563077286,1.12621384064017,1.06735991730596,1.43331549587015,1.42552834077898,0.634843157966912,0.719496751348136,0.945393879577043
28,0.689951764777731,1.4920292373295,1.26156957527406,1.07697595823146,1.23683267191883,1.30559055373627,0.18159519228361,0.942796563479255,0.962202130071716
29,1.10965047452401,1.33753145441343,1.29519615972881,1.01790528109255,1.39173687231911,1.30966113587023,0.385959253730547,0.747856706905614,0.721942383692741
30,1.48656129608453,1.08631855395176,1.32243505674055,1.13733757821231,1.33001444193009,1.54037268557563,0.158705441460861,0.928861559129992,0.92257433906318
31,1.45915100456987,1.4303167126203,1.24818540608039,1.18932008703329,1.41613706663598,1.42844218894403,0.386130104440587,0.756400425912398,0.651368088936298
32,1.41745229523785,1.27719697052069,1.45869158911032,1.2748919724708,1.25192297130525,1.40808115861685,0.361214929604045,0.676418977286046,0.772546623438628
33,1.1424292168317,1.41895606897566,1.25234382394854,1.27868726466448,1.55261403764371,1.24701045947445,0.584088445060714,0.837508640938108,0.859023534912515
34,1.23922941344324,1.43912901685307,1.33173463804396,1.32029736552893,1.36801327623349,1.28006842491311,0.438884773185391,0.685456358117041,0.823911020138416
35,1.06482196757375,1.56468312570426,1.37765785043709,1.33700500702941,1.07825860768303,1.4508377098329,0.571282435121814,0.67117788681295,0.661552207722263
36,1.01305268252356,1.05804835817769,0.960495098648866,1.18950514364294,1.53000358513259,1.20989754135961,0.702645423195198,0.659790653171211,0.753402850959724
37,0.966756529124335,1.26926062844324,0.920504977929257,0.74153752612346,1.49269473974326,1.46401798810032,0.436506888641468,0.570310234433179,0.67709409217318
38,1.05072780957681,1.28646523124879,0.724337691579259,1.12806850612352,1.55139273656527,1.48677280417938,0.460124768043788,0.512242157655982,0.633946917641819
39,0.827909941914084,1.14280154822283,0.840261664733064,1.00558431640681,1.50429634415671,1.52860432369704,0.288706344361434,0.587734298878192,0.637361298035973
40,1.36118498463787,1.4823315964482,0.937832991364676,1.23198851406936,1.36765324108366,1.40047733268163,0.342946626608815,0.548683478991327,0.58956249208266
41,1.15213367032455,1.15461311635738,0.883192920108729,1.21688648677099,1.40905400105985,1.55242823228904,0.429809487989241,0.388652764227182,0.491681893967002
42,0.71948461716554,0.907443426477582,0.780584422269744,0.795254847942077,1.27034021103711,1.32123418058187,0.598253673478687,0.223510553044181,0.620815023829428
43,0.841465948545627,0.891972884251601,0.872297258650957,0.787872247190277,1.11022081938819,1.26778563960001,0.567276511176414,0.389765702769343,0.527312360108043
44,1.13565212655603,0.965119404522868,1.08455578055737,0.848211557341156,1.46143348731495,1.38552305700386,0.852960074871443,0.780366869630939,0.525618231367618
45,0.974618894595439,0.748213356027653,0.753490768996036,0.739306561665987,1.11777174862027,1.10802250562677,0.760801025820748,0.642051965892843,0.644761699387685
46,1.01618771921144,1.17816537471144,0.695140565414889,1.31911378559293,1.44187275304815,1.04283083418294,0.722553674480253,0.517763973376482,0.566726905639754
47,0.944310423773404,0.921661536595468,0.487687998050835,1.37514137726388,1.37536460708724,1.38430401662378,0.668616748329179,0.537957136962505,0.569652196209933
48,1.24915079377528,1.22725702377051,0.817556830985174,1.30553729373562,1.50662878132314,1.26611182229136,0.302090028135996,0.515154779621534,0.593002682218956
49,1.24424543913431,1.27051090594218,0.75863389368588,1.33820142256882,1.55291993662825,1.42790468305231,0.823576276633587,0.810735381041728,0.586705021632748
50,1.29921356453687,1.2521274589448,0.9605847039124,1.24357247223791,1.23493723411455,1.53096538368697,0.505189089655805,0.426870086092183,0.502610697297711
51,1.4746418858707,1.52736349811296,0.949915457912035,1.37693892520802,0.744824277183529,1.38589180790708,0.387095156879743,0.667724429334541,0.723425254852049
52,1.23179666143829,1.44692415257392,0.946873024039336,1.41761982068011,1.07016892383763,1.35125602754593,0.916004027997742,0.938121642331387,0.583443278178528
53,1.47748208089274,1.37637840936559,1.17240311571177,1.47117227213368,1.04465837242623,1.43578854194203,0.900452164069707,0.891133723366744,0.400538700731007
54,1.44745364919071,1.43143354001414,1.04511651848938,1.31390229687716,1.308492734476,1.22441583978934,0.860154631355268,0.832641326786032,0.528338220718163
55,1.46914009252902,1.41374274022483,1.07272261274554,1.24001858734306,1.43561884689419,1.06722201526047,1.09186520724366,1.07518303874154,0.580459026412026
56,1.40585487747592,1.54137095835193,1.15835400087682,1.28457777407455,1.55213759091676,1.0047953819721,0.435667747458881,0.485851952193116,0.491558771296656
57,1.48683411851195,1.56889708692388,1.13676587258892,1.18638955525384,1.5674233454183,0.971582885684734,0.789867179339113,0.920311584343765,0.620890139297788
58,1.23771056139631,1.43988532778852,0.985345449390496,0.9995219835914,1.41870606869528,1.01556482806716,0.983913252152338,0.900212560000886,0.544801109107061
59,1.25111868166631,1.3460105922724,0.856672524573682,1.07577340268312,1.19024821692625,0.877173583363587,0.402687290692575,0.381419485897824,0.417941939912825
60,1.52189835289347,1.56144215340425,1.01050121875259,1.26636590563527,1.50213718771265,0.802001313977949,0.819212320911708,0.749901688438582,0.486694412437174
61,1.28945918131194,1.34485452257976,0.94844996409148,0.938778296059793,1.06235487335789,0.700861879698979,0.632169807922236,0.683383604888597,0.578293405328886
62,1.37927885551368,1.44846580131015,1.12502235774391,1.09520866171589,1.35445975268648,0.719409694325913,0.862210677653701,0.809144999923628,0.643535601206269
63,1.38967435742511,1.38356827167238,1.10813994101203,0.685635242353786,1.14033794573432,0.872780647005032,0.889357140635263,0.859302739758298,0.698393187624274
64,1.47750367455549,1.23075326706078,1.24432343271916,0.672192983334454,0.906129930199535,0.668747981362343,1.0769437721038,0.931507157779374,0.766526967986386
65,1.29460587606818,1.34167649184195,1.3048096089215,1.17155656047156,1.42808052460336,0.722965842747958,0.516425036123604,0.551533989759938,0.6329097901758
66,1.41689763595098,1.29689875744346,1.33262656189358,0.994852030974377,1.1235549384162,0.569716407708213,0.972215584060371,0.822859389775188,0.571264967756494
67,1.43209483701977,1.33477779472548,1.44387727394781,0.620705658623948,0.812080480485511,0.64614773516548,0.646516503982763,0.627887292014872,0.556283293597987
68,1.52337945227618,1.44103264883609,1.13351458998349,1.108939124054,1.29289407157632,0.594095202077124,1.06418534244363,0.944881021152611,0.602842506609336
69,1.32591496600371,1.5022483759858,1.42201080114448,1.21143075755414,1.30162534113719,0.519589323831332,1.14338437965888,1.02137002652999,0.531052891451634
70,1.50680021139602,1.48145985486067,1.03414733340824,1.30780999963358,1.40115990858568,0.554217273810431,1.16734773431784,1.23868690711173,0.631330756966532
71,1.39583903557992,1.39691473993377,1.36805931013555,1.47156555366245,1.53879203087438,0.600209826263447,0.603963849956176,0.552676089949664,0.471838820819664
72,1.48089743533842,1.44366224120529,1.54068281952982,1.52222598964155,1.54082290929726,0.406274128546227,0.693793819002708,0.627386354678893,0.396834713557446
73,1.54168320709654,1.28432104898294,1.49232042116263,1.38091623444367,1.21758589284644,0.647130370705269,0.555153318371745,0.554382502144457,0.465227100611156
74,1.35811061482966,1.50896675437449,1.43823487784874,1.00612107969164,0.847277957384088,0.521541287135942,0.462781338759473,0.429446333651568,0.340910948184426
