frequency,power_R1,power_R2,power_R3
0,1,1,1
0.999000999000999,0.00286101572581527,0.027165593206437,0.0143765451256799
1.998001998002,0.00981434238282625,0.0141282831471828,0.0058782266150861
2.997002997003,0.00186466086728316,0.0125602031551822,0.0103106757410597
3.996003996004,0.00337328045104022,0.000753607633842118,0.000438468979395862
4.995004995005,0.00234366538434737,0.00373547559210102,0.000669464138045899
5.99400599400599,0.00024011348801885,0.000331490441712446,0.000695421910421592
6.99300699300699,9.68886955274495e-05,0.000725575028633539,0.00215890263143906
7.99200799200799,0.000457849704490362,0.000360484673910949,0.000893395034198626
8.99100899100899,0.000746731315082925,0.000567457220233816,0.000739696659819388
9.99000999000999,6.81521755175818e-05,0.000304687902416981,0.000587000038141022
10.989010989011,3.73873589880442e-05,0.000552168120537415,6.92384594001974e-05
11.988011988012,0.00228282206709156,0.000180625663148215,9.76307344988755e-05
12.987012987013,7.88907493649572e-05,0.000205547835807611,2.31486138378896e-05
13.986013986014,0.000437541579246929,0.000276823810292612,0.00050725833416454
14.985014985015,0.00140249113413836,1.8373668510726e-05,0.000130551243155954
15.984015984016,0.000159310326337086,0.000329429845636236,9.11822263691524e-06
16.983016983017,0.00154007550254194,4.73193620639108e-05,0.000316418137016354
17.982017982018,0.000163100153089909,0.000988496562204187,0.000365981215783501
18.981018981019,0.000571059821079636,0.000284536426448846,3.02226725779078e-05
19.98001998002,0.000144675553508883,0.000313992304472327,3.55984803724295e-05
20.979020979021,0.00012676839846604,0.000415203394209719,0.000161780232200004
21.978021978022,0.000316678558618401,0.000646280228130528,3.44187112079703e-05
22.977022977023,1.90681826541698e-05,0.00021408143194776,2.76536414811323e-05
23.976023976024,0.000120476922170258,0.000406733113837181,0.000128698711043827
24.975024975025,0.000163022140312867,0.000297573841574933,0.000117167899390274
25.974025974026,0.000252229194644428,0.000236471381749748,8.50936034535492e-05
26.973026973027,0.000135607485958459,0.000273410506615725,4.52686931717373e-05
27.972027972028,0.000124184859440261,0.000344282485191038,2.81856410696611e-06
28.971028971029,0.000273881311822409,0.000148396232675062,0.000365356771224046
29.97002997003,2.03126500261786e-05,3.46400193708505e-05,0.000211968888542416
30.969030969031,4.9488284370957e-05,5.87257486792613e-05,1.37743283253436e-05
31.968031968032,0.000158223957743105,8.70914467253056e-05,9.99429837944367e-05
32.967032967033,0.000344166835790435,2.43036614726626e-05,0.000184654608160649
33.966033966034,0.000145500055218465,0.000350671538510885,6.28971231229944e-05
34.965034965035,5.44850617764195e-05,0.000243877956907636,0.000130462911954859
35.964035964036,6.23772057816538e-05,0.000247064163987527,0.000295147355191656
36.963036963037,0.00012097713000058,7.60545436870407e-05,5.42656247686584e-05
37.962037962038,9.63765834414308e-06,7.63445856151185e-05,2.33455077110279e-05
38.961038961039,0.000220171931912585,1.98852660682637e-05,4.4427777700299e-05
39.96003996004,9.68646096068792e-05,0.000210208123324021,3.13436364642335e-05
40.959040959041,0.000103250601250759,9.8847049910107e-05,0.0003710697848702
41.958041958042,2.04957104377904e-05,7.01789778622983e-06,5.9020891728773e-05
42.957042957043,0.000125528141087398,2.41134437371902e-06,9.00831778855492e-05
43.956043956044,2.70418018707164e-05,1.22797802687536e-05,4.24040522950449e-06
44.955044955045,3.12074541844297e-05,3.86260073864619e-05,6.52258127865463e-05
45.954045954046,2.52559700809341e-05,1.83838408215985e-05,2.62618489089175e-05
46.953046953047,4.17118715315179e-05,3.38400003837667e-05,1.47730563002547e-05
47.9520479520479,0.00012265538085582,6.98744016108572e-05,2.87174005612092e-05
48.951048951049,7.71427278608138e-05,0.000274689460560557,3.62308065842991e-06
49.95004995005,1.93099195078772e-05,0.000321482264871998,0.000119467702288889
50.9490509490509,1.7109130400988e-05,5.24924988288248e-05,5.39383991911091e-05
51.9480519480519,5.33143308437381e-05,1.02441378430253e-05,2.07230447101319e-05
52.9470529470529,2.22205852860388e-05,1.41983411254266e-05,4.27575190115463e-05
53.946053946054,4.33820197602781e-05,4.99192360559939e-05,6.80813358156331e-05
54.9450549450549,1.78977500258206e-05,2.30560309792613e-05,0.000105718709757341
55.9440559440559,4.58876492089468e-05,3.27181595394386e-05,3.15450437049652e-06
56.9430569430569,9.56497942190992e-05,2.32772713643771e-05,1.31494469019646e-06
57.9420579420579,0.000194752305296516,0.000124342234811411,2.94655259931507e-05
58.9410589410589,6.22192226845456e-06,3.93278144968816e-05,1.27629440580382e-05
59.9400599400599,4.20845813451033e-05,9.88442306693338e-06,3.10564306678247e-07
60.9390609390609,2.90715155389941e-06,1.16403829222142e-05,2.98645298327851e-05
61.9380619380619,2.20800418998916e-05,4.19851944216277e-05,8.65436314450703e-05
62.9370629370629,8.28397583850722e-05,5.39276629072778e-05,0.000239845522635916
63.9360639360639,6.24400908170931e-05,0.000111296400019928,0.000116186172149187
64.9350649350649,6.09673086272101e-05,3.52500135715885e-05,7.66545167184594e-05
65.9340659340659,1.35650260979977e-05,4.75066692456016e-05,3.58100268950056e-05
66.9330669330669,0.000131453247790414,0.000105027821176851,8.84045263510893e-06
67.9320679320679,3.25762556808678e-05,1.39511647866992e-05,0.000204247645148711
68.9310689310689,4.80694468021315e-05,7.78347545959132e-05,4.75694368818857e-05
69.9300699300699,2.33571039157398e-05,4.7761018887515e-05,2.45499504627451e-05
70.9290709290709,1.71194455505497e-05,3.17383407344484e-05,7.0180424922781e-06
71.9280719280719,0.000120870746907744,3.92044467171614e-05,6.68791461058429e-05
72.9270729270729,2.53436335995437e-05,8.34001856821982e-05,1.92069753610977e-05
73.9260739260739,1.06002272613724e-05,1.40568728486238e-05,2.72574110278866e-05
74.9250749250749,6.25430953109096e-05,5.66237572893763e-05,7.18515877764188e-05
75.9240759240759,2.7997838403436e-05,4.00687548140613e-06,8.60438852724227e-05
76.9230769230769,7.98925290846313e-05,4.09818500785665e-05,1.37490582729498e-05
77.9220779220779,2.93018571580518e-05,0.00014003952455057,1.53248469777462e-06
78.9210789210789,1.98146153899025e-05,7.89034465709161e-05,1.18167469224134e-05
79.9200799200799,4.72316410892241e-07,8.50270896103574e-05,7.28111087638836e-05
80.9190809190809,7.07748862466055e-05,8.47105751689608e-05,1.32265721919889e-05
81.9180819180819,9.20394341210679e-05,2.08531893875531e-05,3.25029865235086e-05
82.9170829170829,4.39926474314299e-06,7.54870676377112e-05,3.19695391282696e-06
83.9160839160839,3.75557405087242e-05,1.69481089619457e-05,2.64915046043316e-06
84.9150849150849,1.06073607408067e-05,6.94989948449208e-07,2.26226637660368e-06
85.9140859140859,8.76892686912726e-05,2.2893938210442e-05,1.12727191373081e-06
86.9130869130869,2.98946601915886e-06,3.10046049748489e-05,2.78420255122747e-05
87.9120879120879,6.03361731420538e-07,1.10416406022874e-05,0.000132821737647911
88.9110889110889,9.64466943503191e-05,7.97545768837758e-06,1.2365258949043e-05
89.9100899100899,1.43300277441653e-05,0,0.000106006444252368
90.9090909090909,5.08683118711653e-05,2.17271063874693e-05,1.32038399526248e-05
91.9080919080919,4.27537727014703e-06,4.26443014050258e-06,4.10793716832259e-05
92.9070929070929,4.81635069161811e-05,6.81896041299304e-06,1.04486119516065e-05
93.9060939060939,4.29061811310063e-05,9.65134534119985e-07,1.16704983705376e-05
94.9050949050949,2.76946402090442e-05,5.3765438589221e-06,5.71619883612519e-05
95.9040959040959,2.07993308853564e-05,2.56805370834485e-05,3.78440889180837e-05
96.9030969030969,0.000165844880590694,4.94181097783924e-05,1.61325390158454e-05
97.9020979020979,7.48979518439044e-05,2.88749844238695e-05,1.4046272141969e-05
98.9010989010989,9.31845094678119e-05,3.99281350345787e-06,1.37610830115885e-05
99.9000999000999,2.39273584698081e-05,2.68012808618263e-05,0.000185641793543709
100.899100899101,3.63791741278547e-05,5.03362899275411e-06,5.61172469957916e-07
101.898101898102,5.71152559726502e-05,3.07013579132016e-06,1.53821605391493e-05
102.897102897103,3.19552017793499e-05,1.57426220397606e-05,0.000102473039725544
103.896103896104,7.49632292321581e-05,2.46034517172413e-05,1.22778614206591e-05
104.895104895105,4.64054722374592e-05,2.47270975176356e-05,1.26982190634559e-05
105.894105894106,6.63552423585754e-05,1.02658726753466e-05,3.82213523500244e-05
