frame,R1,R2,R3
1,30.8998676602905,30.8998676602905,30.8998676602905
2,31.6367013987405,31.545185808499,32.0082141246979
3,31.8427388953252,31.1055115887865,31.9835434606679
4,31.45354600438,31.3779705161064,32.510445976394
5,31.333287508453,31.5731908620988,31.3438957530858
6,31.2788455290262,32.2483679034345,31.8664508042196
7,31.7890524763868,31.5176469800774,31.635732816433
8,31.2649194670089,31.5250199684864,31.1958962822329
9,31.4952761961286,31.0761060123819,31.577686765567
10,31.6442211455425,31.2453933831901,31.2352584332512
11,31.3617450155563,31.3302824122182,31.6650184263969
12,31.3848372886465,31.5014902241439,31.6113763553427
13,31.0842184695405,31.7774011047927,31.5164070898583
14,31.4602326449006,31.1860545036021,31.643877553136
15,31.4209020921324,31.3558122359745,31.3758431640987
16,31.0091510799639,31.7947760314488,31.9140959537631
17,31.4079473057561,31.9276572209161,32.2683396104009
18,31.5852636319306,31.5381137437239,31.8184941010897
19,31.3301502092952,32.0619831836798,31.4769781021583
20,31.3409628471776,31.7816636368089,31.9777609480486
21,31.2366515390323,31.2891923745309,31.5615891274889
22,31.360276962622,31.6998904243106,31.4492076704117
23,31.4538693702684,31.4751256502482,31.2622521110923
24,31.1831714421139,31.2078588494083,32.5297861619548
25,31.7061380320315,31.0103272932684,31.6905682411239
26,31.6417439897335,31.2461818823666,31.9330104718138
27,31.4137273665061,31.2064122875221,31.5363338642969
28,31.1103416485286,31.3572296199619,31.5588704759899
29,31.4651629026578,31.4118230998922,31.5959180069632
30,31.3718240296658,31.5873717655476,31.5540095691089
31,31.297073016856,30.9917793752284,31.5659895253748
32,31.7655634088586,31.1437982567072,30.9493487431312
33,31.3782104391937,31.1638651857644,31.9090372934303
34,31.3599642663868,31.4459138030393,31.561872747564
35,31.4756352878671,31.0440833019701,32.0389400376085
36,31.5251043852969,31.1997772474767,32.014290846604
37,31.5738741400455,31.138865390469,31.7366875864995
38,32.3076688020084,30.9857937903849,31.7586364272461
39,31.8339151709956,31.234927300845,30.9704374573941
40,31.0524826101946,31.2628734584689,31.3433584350618
41,31.2528149722696,31.1795218092366,31.4867276084432
42,31.7372268331844,31.0499080840633,31.3364001059751
43,31.7303479712708,31.4845373300597,31.5665779288639
44,32.0044335792461,31.6150365992978,32.0214241322521
45,31.5625008582422,31.7892452768816,31.2545494344106
46,31.7258882670578,31.6114105500203,31.4217420621852
47,31.2098007629345,31.9961637913273,31.425256161364
48,31.1498308104263,31.8658039112007,31.5799247013465
49,31.5096474807849,31.3355266697983,31.5438140130043
50,31.4275240292558,31.8899790965923,31.4892766390998
51,31.5363010036398,31.8601620974046,31.3528681012486
52,31.5348585643057,31.7038231995843,31.666130395515
53,31.579103412133,31.4851194672163,31.6415348533433
54,31.3933695834675,31.526325471897,31.2297435058385
