frame,R1,R2,R3
1,27.6901328599267,27.6901328599267,27.6901328599267
2,28.5446535661777,29.1767033152569,28.3314664572996
3,28.7004570750026,28.475219232032,28.5447650957282
4,27.7834391712442,27.6725493307093,28.5568551444501
5,27.4541979159721,26.5013945594407,27.9546322658032
6,27.8091685337042,27.1546232893568,28.1845911257236
7,27.4825231742105,27.1008054187381,27.5842873029455
8,27.647752829086,27.8824685796393,27.9092886988428
9,27.7762246836445,27.3034774157477,28.1712796714999
10,27.1877746628295,26.8143659560338,28.6329682514974
11,28.0811855707414,27.610018468141,29.018073168107
12,28.2010295347772,26.6140504404803,27.8705434850412
13,27.6260934952638,26.2442986255737,28.2726503159253
14,27.942813460544,26.8427553195274,28.0244305369131
15,27.5835016338751,26.6197389145804,27.8080148390246
16,28.419073759555,26.7278491979882,28.4848279112342
17,28.0976524392227,26.3788446334559,28.3999854659389
18,27.7303355834571,26.8499165138521,27.6210535395856
19,28.2014308392655,26.5127348335005,28.0869326656059
20,28.6519819703598,27.033139998228,27.2156506974916
21,28.3305091738912,26.946205104734,27.6245815765407
22,28.2100838968383,26.5778494533121,27.266051380924
23,28.5459325913057,26.8366650185156,28.0548309370894
24,28.4312416675208,27.0152030541575,27.5626024942903
25,28.1185905315532,26.3654677652757,27.7955478549497
26,28.2766253796178,26.4406383681274,27.4978400270103
27,27.8792859260289,27.0158721611252,27.6448883856828
28,28.1781323128707,26.7777222091925,28.0152426327879
29,28.1511986457543,27.2328509805929,28.1343474646508
30,28.2581073839203,27.0669672375797,27.9110474183025
31,28.0387908451464,27.2350325645402,28.1666748567495
32,29.0073396080866,27.3955125393023,28.5234292210911
33,28.3956080383914,27.1898713260389,28.3573136097544
34,28.2468817474678,27.2320212551429,28.5614392793073
35,28.6678414497576,26.1051333742287,27.7755649748086
36,28.6821512174058,26.4824085419816,28.5013576902161
37,27.9099465257112,26.4496557157555,28.28169587513
38,28.0911798194816,26.9067549965619,27.9749086277092
39,28.2548683552194,26.7513387192232,27.5665327712252
40,29.0521017104512,26.4906377369883,27.6937464486045
41,28.4525519851933,27.4891245793647,27.7798624891233
42,28.283889814876,28.017899670674,27.8181227310444
43,28.2021621607004,27.7137489990112,27.0880513541597
44,27.9666894819187,27.3715565103343,27.4703473570159
45,28.9061727599153,27.4700948590853,27.468018337889
46,28.2604915821924,27.2637661819612,27.0797401090192
47,28.6125835257494,28.0727344969193,27.4666177281633
48,28.7486425608772,27.7744202029436,27.0510463699102
49,28.436200291274,28.7235449733208,26.224041209016
50,28.4989975628087,28.1987902958957,26.4842045706683
51,28.5849666980243,28.6579725138053,26.2797184930369
52,27.8136406328521,28.2665785313063,26.4297955150936
53,28.1993941260425,28.4684259993133,27.0879293647871
54,28.3556640119633,28.4506494886943,27.3915884534495
55,28.056396100566,27.7820636299011,27.5413107516062
56,28.9781875207574,28.1873372392364,27.1412197912306
57,28.520569814571,28.2267877556853,27.1354560530486
58,28.0497333406729,28.5496092267261,27.2510529565885
59,28.5317925784371,29.1745929686119,27.4884962132346
60,28.6118937269653,28.1310942718448,27.8053622621836
61,28.4459028656898,28.4911778597692,27.5305883028481
62,28.220363748738,29.0415700741896,27.5931565495532
63,28.7311480187053,28.7485377956125,27.6925869513337
64,28.753579402278,28.8706407109643,27.379269582847
65,28.2728599205909,27.7976678903186,27.6741171624487
66,28.3899431519115,27.7665986278629,27.3084750625399
67,28.2819381148836,27.7773394252846,27.5673920037733
68,28.5831208106119,27.9753445022998,28.1953421763377
69,28.5561796589177,27.8277142554166,27.4301116639982
70,28.022152137028,27.8539822838624,28.0088915422009
71,28.6963756787529,27.8212972834495,27.9226113008769
72,27.5719549290221,28.0668812405917,27.6031860886875
73,28.4225762937128,28.044512122671,27.5676263491102
74,28.2353126773349,27.7221868233065,28.34015476251
75,28.3543241940675,27.9312794856472,27.345605477107
76,29.3220484719021,28.6206776082839,27.9151831949402
77,29.0841140809569,28.0281058476666,27.6104471051073
78,28.6814742044797,28.2275662284512,27.9486981494404
79,28.6129326141329,28.0495508684171,27.4949840069809
80,29.06135410673,27.4944508764339,28.1470601961674
81,28.2534645140802,27.9871194982763,28.1131543399932
82,28.7552304707715,27.7380726719118,28.2943436332059
83,28.719027045089,28.4066457729236,27.2253110360656
84,28.7157473501453,28.0403401661755,27.1790028390738
85,28.3450700382067,28.2303822042572,27.447050463192
86,28.2513270039406,27.7011839491468,27.5629592231277
87,27.6363002270347,28.1690737852031,26.8135602496877
88,28.6236796326288,28.2521694317374,26.705818559611
89,27.7907070049904,28.6137659200401,27.1014744162522
90,28.2359947847273,28.1095391031933,26.9937820363901
91,28.1767392537235,27.549242372234,28.3039861719024
92,28.5918178572225,27.3981140307437,27.741773879237
93,28.2623362233773,28.4799891279209,27.2052798527733
94,28.0491557133493,28.9151117363966,27.554278933768
95,28.918814640318,28.4985462403061,27.3287419712256
96,28.2345957838903,28.3842287190076,27.3886257584009
97,28.3972789850022,27.8683938469418,28.2217135881642
98,28.4052888109446,28.2447809976328,27.6755060605906
99,28.7404584875856,28.7608475929068,27.3106639484907
100,28.9628561714093,28.8741436849226,27.7029506108317
101,28.0495132125146,28.0690152125811,27.6281339029134
102,28.071811042737,28.637305757083,27.2814547821191
103,28.3342181081647,28.6771159107904,27.233976775003
104,28.7167687679144,28.50927175921,27.6157371019603
105,28.8746890826149,28.4060371200266,27.1802256918461
106,28.3752283165112,27.7617605224081,27.83982921381
107,28.1093214371035,27.9896112304833,27.7593948279859
108,28.2491563901526,28.4716792278468,27.753978685147
109,28.0150125017825,27.8107723220295,27.4615483104793
110,28.3596583553498,28.0915331298138,28.2623591552184
111,28.5048236893529,27.2427678627091,28.8512704100181
112,28.2524810126384,27.6511552867061,28.8497836151182
113,28.1333996745611,28.3294767097543,28.4424550733703
114,28.6065972770828,28.5016657340942,28.1959891724308
115,28.4527295305179,28.7223222394966,27.8588839002364
116,28.2246232112508,28.6271089255692,27.3595474438495
117,28.3892188281013,27.9817016182607,27.3533365848693
118,28.6478665554154,27.3687813944851,27.4110974872221
119,28.9734240438589,27.497762112638,27.5896737546909
120,28.3418340960478,27.2515835389833,27.5896496808648
121,28.4539830716239,27.3953175438517,27.6969077885073
122,28.6206058980514,27.5209691052842,27.8185777309737
123,29.0869621675536,28.0184035343561,27.7103485737142
124,29.2821975022907,27.5357882776591,28.1039030752007
125,29.2031788065597,27.5077296900634,27.8711884298045
126,28.4099623257569,27.3900938406427,27.4558519959895
127,28.5547077140432,27.5603998818379,27.7949482747593
128,28.3706692210531,27.5696955339329,28.6744673294078
129,28.2387396005194,27.9239687617651,28.4662647176464
130,28.3772174194417,28.3384859314534,28.5281279751031
131,28.375390107009,28.6861641860064,27.6969008988007
132,28.8252299735915,28.788515472885,27.6355649072034
133,28.8130716857201,28.0150176371659,27.6959830394836
134,28.6719327410755,27.9198508754265,27.3620424774177
135,28.5058326223469,28.3611070802061,27.6089910667339
136,28.5564141423954,28.3374425109521,28.376640225811
137,28.6310126718079,28.1708390420907,28.556432419252
138,28.5702746572975,28.7754986525561,28.564112546081
139,28.527680054118,28.5238862245265,28.3022093978722
140,29.1920595956275,28.4902392418001,28.3811804543702
141,28.500552992593,28.2813839589567,28.3396926054064
142,28.3701397177998,28.1888640300207,27.8717218978394
143,28.2407342435128,28.2400843752647,27.7762337633362
144,28.5016025703273,29.3132975146625,27.7275303489119
145,28.1384796445337,28.5612799069135,28.1391771107766
146,28.3016151884188,27.8299325501343,27.9762380798346
147,28.3242276130242,27.8408886546412,27.5521633114089
148,28.4149477361201,27.7883375642241,27.9452345918995
149,27.9198796622655,27.5514521919134,28.2208683663787
150,28.2188219162992,28.0045038519251,28.288671450035
151,28.7625673350079,27.8122004970262,28.2649783283263
152,28.7382338449865,28.4304842315724,28.5843155482298
153,28.2831301428683,27.7600389781627,28.2468339231514
154,28.4341456279101,27.8465219273815,28.622429610027
155,28.2167835914258,27.0486953564099,28.2248241428831
156,28.3705771897815,27.2271926350176,28.2209540088993
157,28.1103553365378,28.9536162379704,27.7051506222948
158,28.544847978674,27.8155909650958,27.9900035218981
159,28.819039626239,28.08141061441,28.3423716187319
160,28.1700892158218,27.2462786465348,28.6207618060348
161,27.8259228891181,28.1043791209844,28.1280180262961
162,28.1432708790445,28.0810399940857,28.4614968157308
163,28.285444864863,28.0950763529576,28.6893312981462
164,28.7080956892236,28.0392577834333,28.8768098605216
165,28.9494771956539,27.0333102576166,28.6263578746433
166,28.8616158113015,27.4569035638282,28.1879754880273
167,29.1720702430585,27.4791193255202,27.8796358951857
168,28.4274842744502,26.7837289691745,28.3835448995923
169,28.718514382438,27.2508910538039,28.311590335687
170,28.9426870443176,27.57458913075,28.3615746566357
171,28.544164982295,27.0541395572457,28.0218522103396
172,28.5147601842086,27.2704305285175,28.018214697797
173,28.4198627276669,26.9196970826383,28.3944065513968
174,28.4638338958009,27.8814301065337,27.8383589757158
175,28.6871052435812,27.3428383040365,28.2610783083476
176,28.2658846716934,27.2068712842943,27.9776557797052
177,28.8660009777334,27.4669325201851,28.6992710405901
178,28.708215899794,27.6862085058183,28.9020045205919
179,28.3062929369946,27.3885393091666,27.9502842050824
180,28.6651673464058,27.6061402901377,27.9884238975637
181,29.045235180657,28.5292292292878,28.4001595331935
182,28.8766369745614,27.972314068405,28.1712823795112
183,28.7112795330508,27.6084339629199,27.3488986100032
184,29.0930166721579,27.30776776244,27.3676029968025
185,28.9999472261691,27.7553467413386,27.7703396417389
186,28.8825602554807,26.67263674582,28.2606641481383
187,29.2044709469032,26.9476576321959,27.8302809364899
188,29.4469083394862,26.7476307087417,28.39442178225
189,29.8030925337852,26.5592390634726,28.3649747506158
190,29.0838730706217,26.8177748317703,27.865036829874
191,28.8155155678892,26.9514510188677,27.7517187126625
192,29.2326047744504,28.1526093960492,27.9934002260348
193,28.4888878847089,27.9857196623608,27.652219641691
194,28.6539935848975,27.0957684479088,28.6457852244629
195,29.2005905219482,27.0031977415809,28.0935091745621
196,29.2836567809189,27.6755493429757,28.194999645038
197,29.5864897977634,27.2713870767267,27.6428458381473
198,29.4517566970772,27.2795671424816,28.2335465694471
199,29.2695755595585,27.5870146543952,28.6668833340639
200,28.9736522363765,27.0987588098137,28.693028421125
201,29.1544681980389,27.2827855563506,27.644324595731
202,28.7431754184301,27.5261480730954,26.8449726929884
203,28.7183126069052,27.0444940726845,27.3160944050459
204,29.3601148176681,27.2122890299467,28.8803918761341
